TOWC (s),Week no,Receiver Nano Seconds (ns),System Status-1,System Status-2,System Status-3,Block Count,X pos (m),Y pos (m),Z pos (m),MSL Correction (m),X vel (m/s),Y vel (m/s),Z vel (m/s),Position fix status,speed (m/s),std deviation East(m),std dev North(m),std dev Up(m),Position Estimation Time (s),Time to First Fix (s),Position Mode,Latitude (deg),Longitude (deg),Altitude (m),Position Error East(m),Position Error North (m),Position Error Up (m),Fixed Latitude(deg),Fixed Longitude(deg),Fixed Altitude(m), Position mode
3774,869,0,1606123028,1572847,56954879,212338,1745148.579596,5599332.133139,2498163.004545,-56.402294,-0.054,-0.181,-0.037,1,0.192559,2.86,3.92,6.15,32456,3,1,23.2104226002,72.6892660272,24.3426,0,0,0,0,0,0,1
3775,869,0,1606123028,1572847,56954879,212339,1745148.636529,5599332.576137,2498163.512543,-56.402283,-0.024,-0.032,-0.067,1,0.077994,2.86,3.92,6.15,32457,3,1,23.2104252506,72.689266784,24.9471,0,0,0,0,0,0,1
3776,869,0,1606123028,1572847,56954879,212340,1745148.647077,5599333.059886,2498163.072373,-56.402267,-0.007,-0.036,-0.051,1,0.06309,2.86,3.92,6.15,32458,3,1,23.210419943,72.6892680918,25.201,0,0,0,0,0,0,1
3777,869,0,1606123028,1572847,56954879,212341,1745148.520125,5599333.042889,2498162.978829,-56.402294,-0.021,-0.016,-0.073,1,0.077132,2.86,3.92,6.15,32459,3,1,23.2104193589,72.6892692264,25.1145,0,0,0,0,0,0,1
3778,869,0,1606123028,1572847,56954879,212342,1745148.222633,5599331.770294,2498163.341278,-56.402298,-0.027,-0.066,-0.109,1,0.129964,2.86,3.92,6.15,32460,3,1,23.2104270054,72.6892683017,24.0594,0,0,0,0,0,0,1
3779,869,0,1606123028,1572847,56954879,212343,1745148.135156,5599331.904081,2498163.52673,-56.402264,-0.021,-0.071,-0.041,1,0.084556,2.86,3.92,6.15,32461,3,1,23.2104281825,72.6892695065,24.2259,0,0,0,0,0,0,1
3780,869,0,1606123028,1572847,56954879,212344,1745148.290932,5599331.626507,2498163.331187,-56.40226,-0.021,-0.097,-0.065,1,0.118367,2.86,3.92,6.15,32462,3,1,23.2104273378,72.6892672468,23.9479,0,0,0,0,0,0,1
3781,869,0,1606123028,1572847,56954879,212345,1745148.379728,5599332.334539,2498163.151939,-56.402267,-0.03,-0.093,-0.1,1,0.139891,2.86,3.92,6.15,32463,3,1,23.2104233508,72.6892684767,24.5228,0,0,0,0,0,0,1
3782,869,0,1606123028,1572847,56954879,212346,1745148.480152,5599332.401441,2498163.166128,-56.402283,-0.008,0.014,-0.055,1,0.057133,2.86,3.92,6.15,32464,3,1,23.2104231349,72.6892677346,24.6145,0,0,0,0,0,0,1
3783,869,0,1606123028,1572847,56954879,212347,1745148.545745,5599332.201422,2498163.336965,-56.402275,-0.036,-0.151,-0.078,1,0.173443,2.86,3.92,6.15,32465,3,1,23.2104251627,72.6892665414,24.5243,0,0,0,0,0,0,1
3784,869,0,1606123028,1572847,56954879,212348,1745148.384489,5599331.568838,2498163.352444,-56.402267,-0.036,-0.167,-0.104,1,0.200214,2.86,3.92,6.15,32466,3,1,23.2104276111,72.6892662066,23.9313,0,0,0,0,0,0,1
3785,869,0,1606123028,1572847,56954879,212349,1745148.581437,5599331.95296,2498163.443251,-56.402264,-0.012,-0.026,-0.133,1,0.135907,2.86,3.92,6.15,32467,3,1,23.2104268511,72.6892654863,24.3579,0,0,0,0,0,0,1
3786,869,0,1606123028,1572847,56954879,212350,1745148.506204,5599332.589444,2498163.051052,-56.402267,-0.033,-0.066,-0.105,1,0.128787,2.86,3.92,6.15,32468,3,1,23.2104215136,72.6892680381,24.7413,0,0,0,0,0,0,1
3787,869,0,1606123028,1572847,56954879,212351,1745148.343189,5599332.373714,2498163.136399,-56.402283,-0.009,0.038,-0.047,1,0.060714,2.86,3.92,6.15,32469,3,1,23.2104231274,72.6892689314,24.541,0,0,0,0,0,0,1
3788,869,0,1606123028,1572847,56954879,212352,1745148.268112,5599331.918128,2498163.13959,-56.402279,-0.048,-0.046,-0.113,1,0.130868,2.86,3.92,6.15,32470,3,1,23.2104247812,72.6892683073,24.122,0,0,0,0,0,0,1
3789,869,0,1606123028,1572847,56954879,212353,1745148.239942,5599331.668871,2498163.03311,-56.402271,-0.028,-0.101,-0.037,1,0.11103,2.86,3.92,6.15,32471,3,1,23.2104247742,72.6892678455,23.8536,0,0,0,0,0,0,1
3790,869,0,1606123028,1572847,56954879,212354,1745148.420214,5599332.499919,2498163.130023,-56.402271,-0.012,-0.063,-0.049,1,0.080511,2.85,3.92,6.15,32472,3,1,23.2104225642,72.6892685799,24.6703,0,0,0,0,0,0,1
3791,869,0,1606123028,1572847,56954879,212355,1745148.175742,5599331.649937,2498163.334535,-56.402283,-0.014,-0.075,-0.067,1,0.101347,2.85,3.92,6.15,32473,3,1,23.210427408,72.6892683892,23.9383,0,0,0,0,0,0,1
3792,869,0,1606123028,1572847,56954879,212356,1745148.303567,5599331.854525,2498163.110445,-56.402264,-0.025,-0.065,-0.039,1,0.079839,2.85,3.92,6.15,32474,3,1,23.2104247179,72.6892677918,24.0644,0,0,0,0,0,0,1
3793,869,0,1606123028,1572847,56954879,212357,1745148.299531,5599331.778291,2498163.095693,-56.402271,-0.068,-0.207,-0.096,1,0.238391,2.85,3.92,6.15,32475,3,1,23.2104248587,72.6892676078,23.9906,0,0,0,0,0,0,1
